Country Name,Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Bermuda,BMU,12.2475,12.7875,13.2475,13.7875,14.3175,14.8475,15.3775,15.8975,16.4175,16.9275,17.4475,17.9775,18.5375,19.0975,19.6775,20.2575,20.9075,21.6375,22.2875,22.7675,23.3775,23.8175,24.2975,24.7575,25.3375,25.9375,26.5475
Bhutan,BTN,0.71,0.9,1.12,1.3,1.51,1.76,2.06,2.45,2.83,3.21,3.61,3.99,4.41,4.79,5.1,5.5,5.89,6.28,6.7,7.09,7.58,8.31,9.13,10.05,11.05,12.1,13.23
Bolivia,BOL,113.54975,119.54975,126.19975,134.01975,142.64975,152.48975,162.30975,173.23975,184.21975,194.65975,205.71975,214.32975,224.71975,235.79975,246.90975,259.08975,274.12975,286.44975,299.67975,313.65975,328.84975,344.97975,363.75975,382.65975,403.04975,423.87975,444.97975
Bonaire Sint Eustatius and Saba,BES,15.05,15.24,15.4,15.64,15.87,16.1,16.32,16.55,16.56,16.65,16.9,17.15,17.39,17.64,17.9,18.15,18.42,18.72,19.01,19.3,19.5,19.76,20.07,20.39,20.71,21.05,21.39
Bosnia and Herzegovina,BIH,407.12,421.29,436.33,448.92,452.15,455.58,459.83,468.22,478.81,489.18,502.96,516.31,530.6,545.08,560.68,576.87,594.42,612.06,632.2,652.89,674.15,698.02,720.26,742.16,764.37,787.6,811.01
Botswana,BWA,17.56,20.19,22.97,26.17,29.2,32.24,35,37.8,41.14,44.3,48.08,51.93,55.91,59.74,63.63,67.72,71.85,76.08,80.58,84.34,89.02,93.19,97.42,102.64,109.67,116.56,123.21
Brazil,BRA,4657.34306,4876.49306,5097.02306,5327.57306,5569.53306,5827.67306,6112.22306,6412.52306,6724.55306,7044.46306,7372.18306,7709.34306,8041.34306,8362.70306,8700.25306,9047.27306,9394.65306,9757.57306,10144.88306,10511.73306,10931.14306,11370.19306,11839.83306,12343.10306,12872.47306,13394.97306,13882.33306
British Virgin Islands,VGB,0.89,0.96,1.03,1.1,1.18,1.26,1.36,1.46,1.56,1.66,1.76,1.87,1.98,2.1,2.22,2.35,2.49,2.64,2.8,2.96,3.13,3.31,3.49,3.67,3.85,4.04,4.23
Brunei,BRN,125.48,130.79,136,140.96,145.65,150.44,155.31,160.37,165.64,169.55,174.26,178.76,183.13,187.72,192.71,197.71,202.57,210.98,220.09,227.95,236.15,245.84,255.5,263.3,272.4,282.12,292.15
Bulgaria,BGR,2330.38305,2390.41305,2447.23305,2504.69305,2560.61305,2618.13305,2676.06305,2731.20305,2783.67305,2829.70305,2874.86305,2923.72305,2969.83305,3020.17305,3069.67305,3120.25305,3172.05305,3227.66305,3281.61305,3327.29305,3375.05305,3428.14305,3476.36305,3518.96305,3564.15305,3612.44305,3657.70305
Burkina Faso,BFA,9.27367,9.90367,10.53367,11.16367,11.80367,12.43367,13.14367,13.95367,14.81367,15.74367,16.78367,17.78367,18.78367,19.86367,20.96367,22.08367,23.44367,25.09367,27.01367,28.94367,30.90367,33.11367,35.74367,38.80367,41.65367,44.51367,47.48367
Burundi,BDI,3.69,3.93,4.15,4.38,4.61,4.85,5.09,5.34,5.59,5.84,6.11,6.32,6.53,6.69,6.89,7.04,7.23,7.42,7.61,7.8,8.01,8.25,8.53,8.82,9.26,9.7,10.16
Cambodia,KHM,12.67454,13.97454,15.32454,16.70454,18.18454,19.73454,21.35454,22.89454,24.84454,26.73454,28.70454,30.95454,33.16454,35.54454,37.98454,40.75454,43.75454,47.21454,51.10454,55.75454,60.76454,65.96454,71.41454,77.01454,83.69454,90.79454,98.36454
Cameroon,CMR,67.88786,68.98786,72.76786,76.65786,80.46786,84.68786,89.14786,92.35786,95.56786,98.64786,102.07786,105.49786,108.90786,112.69786,116.64786,120.33786,124.19786,130.02786,135.56786,142.28786,149.05786,154.81786,160.93786,167.70786,174.70786,181.97786,189.39786
Canada,CAN,17182.34472,17636.75472,18105.46472,18573.18472,19056.09472,19551.60472,20061.87472,20586.52472,21119.44472,21668.08472,22238.08472,22800.74472,23368.21472,23953.16472,24536.75472,25110.35472,25678.13472,26268.39472,26840.55472,27380.05472,27933.77472,28493.77472,29059.23472,29633.70472,30206.43472,30774.52472,31337.50472
Cape Verde,CPV,2.33131,2.43131,2.54131,2.65131,2.76131,2.88131,3.02131,3.17131,3.33131,3.51131,3.73131,3.96131,4.23131,4.54131,4.87131,5.31131,5.78131,6.29131,6.76131,7.28131,7.84131,8.46131,8.97131,9.47131,9.96131,10.45131,10.96131
Cayman Islands,CYM,2.94468,3.21468,3.52468,3.85468,4.21468,4.57468,4.95468,5.36468,5.79468,6.22468,6.69468,7.16468,7.65468,8.14468,8.60468,9.07468,9.55468,10.12468,10.70468,11.26468,11.82468,12.41468,12.94468,13.47468,14.01468,14.58468,15.15468
Central African Republic,CAF,4.51,4.72,4.94,5.16,5.39,5.62,5.85,6.1,6.35,6.61,6.88,7.13,7.38,7.61,7.84,8.07,8.32,8.57,8.82,9.07,9.33,9.61,9.9,10.2,10.5,10.8,11.11
Chad,TCD,4.61,4.68,4.76,4.85,4.95,5.06,5.18,5.32,5.47,5.63,5.81,5.98,6.15,6.53,6.91,7.31,7.72,8.18,8.69,9.18,9.7,10.24,10.85,11.55,12.28,13.01,13.77
Chile,CHL,1008.85687,1040.15687,1072.60687,1107.20687,1145.27687,1186.98687,1235.44687,1291.79687,1349.38687,1410.83687,1469.60687,1522.90687,1578.02687,1633.58687,1693.31687,1755.08687,1819.84687,1891.42687,1963.21687,2029.96687,2102.15687,2181.33687,2262.24687,2345.40687,2427.89687,2510.68687,2597.87687
China,CHN,41998.97981,44562.47981,47250.72981,50127.06981,53182.80981,56500.37981,59960.63981,63427.30981,66748.92981,70064.26981,73466.65981,76951.36981,80798.48981,85335.18981,90564.44981,96456.57981,102980.5298,110005.5798,117552.4698,125546.9298,134315.7898,144041.3698,154061.7398,164311.3498,174594.8598,184745.3298,194896.1498
Christmas Island,CXR,1.33221,1.33221,1.33221,1.33221,1.33221,1.33221,1.33221,1.33221,1.33221,1.33221,1.33221,1.33221,1.33221,1.33221,1.33221,1.33221,1.33221,1.33221,1.33221,1.33221,1.33221,1.33221,1.33221,1.33221,1.33221,1.33221,1.33221
Colombia,COL,1307.05027,1364.12027,1426.12027,1490.09027,1557.61027,1617.18027,1677.66027,1742.52027,1808.44027,1864.91027,1922.79027,1979.02027,2034.64027,2092.01027,2147.04027,2207.94027,2270.83027,2333.21027,2401.24027,2473.84027,2549.95027,2626.42027,2706.31027,2795.86027,2879.88027,2965.88027,3050.51027
