"Congo, Rep.",COG,-1,15,0.486838326,0.325124228,0.410345599,0.451406105,0.50055554,0.641061363,0.649833428,0.635369293
Costa Rica,CRI,10,-84,0.954653351,1.394703986,1.760677795,1.665175303,1.682660743,1.668780062,1.614402173,1.630951062
Cote d'Ivoire,CIV,8,-5,0.410408539,0.406991231,0.283812055,0.341512032,0.346951476,0.434007998,0.486455715,0.490206046
Croatia,HRV,45.1667,15.5,..,4.328211925,4.916384236,4.696195978,4.627629816,4.21645564,4.123953137,3.973804906
Cuba,CUB,21.5,-80,3.150989961,2.339161379,2.641408453,3.386127443,3.169444662,3.176608348,3.049362141,3.045210624
Cyprus,CYP,35,33,5.706562886,7.347326262,7.386924038,6.927903563,6.60156823,6.096256416,5.199663256,5.260352041
Czech Republic,CZE,49.75,15.5,..,12.07688904,10.30832179,10.65257862,10.18548225,9.611985879,9.384891603,9.165978376
Denmark,DNK,56,10,9.770698699,9.613175554,8.058895601,8.40721667,7.296383208,6.514800847,6.862565032,5.935712482
Djibouti,DJI,11.5,43,0.546573667,0.475248891,0.552127049,0.607471574,0.546278771,0.586763279,0.678855968,0.791961752
Dominica,DMA,15.4167,-61.3333,0.827228379,1.473620759,1.853346249,1.950531915,1.789578627,1.883279662,1.823370166,1.864285911
Dominican Republic,DOM,19,-70.6667,1.284840277,2.311301258,2.070810108,2.123958664,2.117090045,2.178544552,2.085432517,2.069986634
Ecuador,ECU,-2,-77.5,1.646869557,1.640605971,2.455104271,2.441361756,2.543911176,2.473495016,2.617689044,2.761702175
"Egypt, Arab Rep.",EGY,27,30,1.322777217,2.021660576,2.50693511,2.41019138,2.528167325,2.471928185,2.376329652,2.198980246
El Salvador,SLV,13.8333,-88.9167,0.478002407,0.978678941,1.049801084,1.047522915,1.073590082,1.070997514,0.996713369,1.000644623
Equatorial Guinea,GNQ,2,10,0.154636567,0.740177399,5.08234968,4.919642857,6.162746281,4.925379817,4.764156915,4.733816529
Eritrea,ERI,15,39,..,0.179415769,0.119104459,0.11692068,0.132758694,..,..,..
Estonia,EST,59,26,..,10.63625164,10.91432018,13.59968907,14.01673297,13.32400037,15.09371797,14.84881917
Eswatini,SWZ,-26.5,31.5,0.493830199,1.11930647,0.885167383,0.862756819,0.855951971,0.96657875,0.85657624,0.928714992
Ethiopia,ETH,8,38,0.06276065,0.053348338,0.077619139,0.07509386,0.085803968,0.092622864,0.112072453,0.119124015
Faroe Islands,FRO,62,-7,14.94722024,14.58792162,11.86633551,12.99122554,11.6932398,12.13140591,13.91665128,12.23784857
Fiji,FJI,-18,175,1.117269718,1.039677129,0.929697981,1.419979069,1.25604496,1.213104227,1.30887617,1.320574708
Finland,FIN,64,26,10.37716896,10.12847414,9.955194272,11.57528165,10.54447474,9.075433356,8.681780123,8.660721243
France,FRA,46,2,6.420670907,5.946665463,5.438356727,5.428980862,5.077911491,5.075063887,5.062174035,4.573182147
French Polynesia,PYF,-15,-140,2.19973787,2.395641032,3.1895241,3.203935479,3.084790045,2.996190694,3.003012489,2.915134817
Gabon,GAB,-1,11.75,4.725217704,3.812587217,2.678457404,2.933224404,2.929968222,2.905518332,2.90571962,2.768265721
"Gambia, The",GMB,13.4667,-16.5667,0.191987854,0.199448144,0.232603869,0.255713888,0.25617469,0.252317681,0.232722215,0.267684889
Georgia,GEO,42,43.5,..,1.11256641,1.636221401,1.667568685,2.122236979,2.263802424,2.113793109,2.416460496
Germany,DEU,51,9,..,10.09563988,8.818595562,9.279634012,9.12485921,9.199299757,9.39062342,8.889370395
Ghana,GHA,8,-2,0.260957011,0.332065264,0.322460195,0.406162808,0.391342522,0.4615626,0.554930149,0.536533378
Gibraltar,GIB,36.1833,-5.3667,4.9037512,10.7022771,14.01996602,14.03202868,13.50220027,13.74184338,14.52448937,15.51348493
Greece,GRC,39,22,7.284521642,8.47843382,8.277892345,7.540183868,7.189762915,7.247007359,6.33661459,6.180337268
Greenland,GRL,72,-40,9.958938849,9.461120996,10.2217389,11.66377295,12.44034101,10.00501672,9.803250536,8.989181988
Grenada,GRD,12.1167,-61.6667,1.104483658,1.876460111,2.426008668,2.487241705,2.408022841,2.572577052,2.873797317,2.275498308
Guatemala,GTM,15.5,-90.25,0.549031916,0.851067438,0.827854974,0.797292859,0.791834915,0.784016181,0.87418049,1.150977994
Guinea,GIN,11,-10,0.166320537,0.186502517,0.214326136,0.2412015,0.251884294,0.22883261,0.199296674,0.207492621
Guinea-Bissau,GNB,12,-15,0.170258229,0.117983091,0.154659665,0.153196262,0.153925624,0.154457589,0.152655821,0.157241167
Guyana,GUY,5,-59,1.524403714,2.137011633,2.099803807,2.303675813,2.379070885,2.648880414,2.554048974,2.632347952
Haiti,HTI,19,-72.4167,0.139971058,0.159990525,0.230376834,0.212694146,0.218681438,0.224883835,0.23059851,0.270538586
Honduras,HND,15,-86.5,0.523188172,0.771138223,0.979841745,0.973269197,1.072227358,1.05625722,1.047014219,1.07522179
"Hong Kong SAR, China",HKG,22.25,114.1667,4.791623806,6.067468267,6.044701985,5.791126534,6.193079501,6.073287646,6.269078968,6.393600526
Hungary,HUN,47,20,6.713650623,5.467296695,4.840111448,5.022311649,4.797900003,4.494128944,4.259659831,4.265574976
Iceland,ISL,65,-18,7.842665191,7.693782116,6.447492771,6.168528586,5.896828979,5.613991818,5.866946294,6.059657407
India,IND,20,77,0.7115628,0.979870442,1.431844254,1.397008906,1.47668635,1.598098637,1.591437853,1.730000432
Indonesia,IDN,-5,120,0.824341653,1.245241613,1.865165403,1.767907879,2.456844744,2.559750233,1.945094474,1.819363319
"Iran, Islamic Rep.",IRN,32,53,3.743163403,5.628712148,7.522002539,7.684728662,7.802934624,8.001696245,8.003808763,8.283020787
Iraq,IRQ,33,44,2.730149885,3.074219493,3.497152936,3.647128775,4.235645492,4.659523902,4.884622664,4.811839686
Ireland,IRL,53,-8,8.883722816,10.83474264,8.889010942,8.783613934,7.77982216,7.738155591,7.538110297,7.313939808
Israel,ISR,31.5,34.75,7.788833906,9.581779456,8.612472881,9.035223254,8.901888279,9.547967764,8.321785471,7.863181348
Italy,ITA,42.8333,12.8333,7.361704582,7.912673166,6.795651486,6.83837457,6.702557614,6.205413858,5.732941879,5.270866786
Jamaica,JAM,18.25,-77.5,3.106957969,3.879738293,2.760631465,2.590268386,2.777310635,2.626668783,2.837874022,2.59321537
Japan,JPN,36,138,8.873292835,9.622351624,8.620816388,9.148316038,9.317426666,9.63862829,9.780815065,9.538706103
